herbarium_sheet,leaf_index,length_LM,width_LM,perimeter,area
solanum_hieronymi_1135481033,4cebbff7-d4e0-43a7-b718-a8ec550830a1__0,271.0,197.0,929.8204178980354,33858.5
solanum_hieronymi_1135481033,4cebbff7-d4e0-43a7-b718-a8ec550830a1__1,243.0,216.0,998.1463197058404,31399.0
solanum_hieronymi_1135481033,4cebbff7-d4e0-43a7-b718-a8ec550830a1__2,182.0,143.0,604.4995667241132,16232.0
solanum_hieronymi_1135481033,4cebbff7-d4e0-43a7-b718-a8ec550830a1__3,233.0,151.0,722.0559159102174,22477.5
solanum_hieronymi_1135481033,4cebbff7-d4e0-43a7-b718-a8ec550830a1__4,252.0,143.0,750.8254685,25590.5
solanum_hieronymi_1135481033,4cebbff7-d4e0-43a7-b718-a8ec550830a1__5,290.0,197.0,911.4356415871852,37409.0
solanum_lyratum_1057093976,6e887d00-35a0-4408-a881-22691d1bb245__0,125.0,92.0,371.0193359837568,8654.0
solanum_lyratum_1057093976,6e887d00-35a0-4408-a881-22691d1bb245__1,110.0,80.0,317.90663761154866,6379.0
solanum_lyratum_1057093976,6e887d00-35a0-4408-a881-22691d1bb245__2,147.0,105.0,429.30360723121896,10838.0
solanum_lyratum_1057093976,6e887d00-35a0-4408-a881-22691d1bb245__3,264.0,182.0,1129.6265504461962,25551.0
solanum_lyratum_1057093976,6e887d00-35a0-4408-a881-22691d1bb245__4,281.0,162.0,955.8031739553326,24015.0
solanum_lyratum_1057093976,6e887d00-35a0-4408-a881-22691d1bb245__5,284.0,149.0,761.9381669041263,27471.5
solanum_lichtensteinii_1056119120,2ee0f9f1-e76a-457d-a509-fb64da24afbd__0,596.0,313.0,2001.3637072235467,98981.5
solanum_umbellatum_1055358523,05b5faa6-dbdd-47de-83b1-61d23331b9db__0,651.0,242.0,1926.101731,87106.0
solanum_umbellatum_1055358523,05b5faa6-dbdd-47de-83b1-61d23331b9db__1,679.0,257.0,2037.3464632808443,111012.0
