taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Abutilon theophrasti,annual,,,,,1.00 m,2.00 m,"tomentose, hairy, stellate, pubescent",,,lobed,"appressed, adpressed, lobed",,cordate,acuminate,cordate,,,,12 cm,12 cm,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,2.6 mm,3 mm,2.9 mm,3.5 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000512325
Acacia melanoxylon,perennial,,"tree/shrub, shrub, tree",,,5 m,25 m,,,,pinnate,pinnate,,,,,,,,,,,,,,,,,actinomorphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown, red","black, brown",,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000204086
Acaena anserinifolia,,,"prostrate, scrambler",,,,,,,,pinnate,pinnate,,,,,,,,,,,,,,,,,,,greenish,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001013022
Acaena inermis,perennial,,erect leafy,rhizomatous,,0.06 m,0.06 m,,,,pinnate,pinnate,,,,,,,,1.5 cm,7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,turbinate,red,,2.0,2.0,2.0,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001012629
Acaena novae-zelandiae,perennial,,herb,,,,,,,,pinnate,pinnate,,,,,,,,,,,,,,bisexual,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001004320
Acaena ovalifolia,perennial,,herb,,,,,,,,pinnate,pinnate,,,,,,,,1.0 cm,3.0 cm,,,,,bisexual,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0001018923
Acanthus mollis,perennial,,herb,,,1.00 m,2.00 m,"glabrous, pubescent",spinescent,,lobed,lobed,"opposite, alternate",,,,,,,25 cm,100 cm,,,,,,,,zygomorphic,,purplish,,,,,,,,,"purple, white",3.5 cm,5 cm,,,,,,,,,4.0,,,,,,,,terminal,,,,,,,ovoid,,,2.0,4.0,4.0,7.5 mm,9 mm,9 mm,12 mm,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000513864
Acanthus spinosus,perennial,,herb,,,0.80 m,1.50 m,hairy,spinescent,,lobed,lobed,"opposite, alternate",,,,,,,25 cm,60 cm,,,,,,,,zygomorphic,,purplish,,,,,,,,,white,3.5 cm,5 cm,,,,,,,,,4.0,,,,,,,,terminal,,,,,,,ovoid,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000513891
Acer campestre,perennial,,"tree/shrub, shrub, tree",,,9 m,25 m,"glabrous, pubescent",,,lobed,lobed,,cordate,,cordate,,,,4 cm,10 cm,,,corymb,,,,,,,"green, yellowish",,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000514040
Acer cappadocicum,,,"tree/shrub, tussock, tree",suckering,,,,,,,"simple, lobed",lobed,,,,,,,,,,,,,,,,,,,,erect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecoflora,http://www.worldfloraonline.org/taxon/wfo-0000514067
