taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Abelmoschus crinitus,,,herb,,,0.5 m,1.5 m,"stellate, hirsute",,,"simple, lobed",lobed,,"cordate, orbicular, ovate",,"cordate, orbicular","serrate, dentate",,,10 cm,15 cm,,,,,,,,,,,,,,4 cm,4 cm,,2 cm,2.5 cm,"purple, yellow",,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,,black,,,,3 mm,3.5 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000510854
Abelmoschus esculentus,"annual, perennial",,herb,,,0.005 m,0.025 m,"hairy, glabrous, glabrescent",,,"simple, lobed","partite, lobed",,"cordate, orbicular, ovate",,"cordate, orbicular",,,,5 cm,30 cm,,,,,,,,,,,,,,,,,2 cm,3 cm,"purple, yellow, yellowish, white",,,,,,,,,,,,,,,,,,,,,,,,,,cylindrical,,brown,5.0,15.0,15.0,3 mm,6 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000510862
Abelmoschus ficulneus,perennial,,,,,0.5 m,1.5 m,scabrous,,,,partite,,"cordate, orbicular, obovate",,"cordate, orbicular","serrate, scabrous",,,2 cm,15 cm,,,,,,,,,,,,,,1.5 cm,2.5 cm,,1.5 cm,1.5 cm,"pink, purple, white",,,,,,,,,,,,,,,,,,,terminal,,,,,,,ovoid,,black,,,,3 mm,3 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000510865
Abelmoschus moschatus,,,herb,,,0.5 m,3 m,hispid,,,lobed,"partite, lobed",,"cordate, orbicular, ovate",,"cordate, orbicular",,,,6 cm,30 cm,,,,,,,,,,,,,,2 cm,5.5 cm,,2 cm,3.5 cm,"purple, yellow",,,,,,,,,,,,,,,,,,,,,,,,,,"ovoid, fusiform",,black,,,,3 mm,4 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000510888
Abildgaardia ovata,perennial,terrestrial,,,,0.15 m,0.40 m,scabrous,,,,"flat, involute",,canaliculate,mucronate,,"flat, involute, scabrous",0.07 cm,0.1 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4 mm,1.8 mm,2.2 mm,2.4 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000336880
Abrus precatorius,perennial,,climber,,,,,"sericeous, glabrous",,,,,,,,,,,,5 cm,10 cm,,,,,,,,,,,,,,,,,0.25 cm,0.25 cm,"pink, white",0.9 cm,1.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,"scarlet, white, black",3.0,5.0,5.0,,,7 mm,8 mm,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000178702
Abutilon alii,perennial,,"herb, shrub",,,1 m,3 m,"stellate, velutinous, pubescent",,,,,,"cordate, orbicular, ovate, rounded",acute,"cordate, orbicular, rounded","serrate, dentate",,,4 cm,30 cm,,,,,,,,,,,,,,,,,1.0 cm,1.2 cm,"yellow, orange",,,,,,,,,,,,,,,,,,,,,,,,,dehiscent,globose,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000511709
Abutilon badium,,,shrub,,,3 m,3 m,"stellate, hairy, velutinous, pubescent",,,simple,,,cordate,"acute, acuminate",cordate,"serrate, crenate",1.5 cm,16 cm,2 cm,18.5 cm,,,,,,,,,,,,,,,,,0.7 cm,1.1 cm,"yellow, orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000511755
Abutilon bidentatum,,,shrub,,,,,"tomentose, stellate, velutinous",,,,,,"cordate, ovate","acute, acuminate",cordate,serrate,1.5 cm,12 cm,,,,,,,,,,,,,,,,0.4 cm,0.5 cm,,0.5 cm,0.7 cm,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,3.0,3.0,3.0,1.5 mm,1.5 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000511779
Abutilon fruticosum,perennial,,herb,,,1 m,1 m,velutinous,,,simple,,,"cordate, orbicular, lanceolate, ovate",acute,"cordate, orbicular","serrate, denticulate",1 cm,8 cm,0.5 cm,5 cm,,,,,,,,,,,,,,0.3 cm,0.4 cm,,0.4 cm,0.6 cm,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown, white",3.0,3.0,3.0,2 mm,2 mm,,,,,,,,,efloras.flora_of_pakistan,http://www.worldfloraonline.org/taxon/wfo-0000511912
